Date,Close
02-Mar-20,11132.75
03-Mar-20,11303.3
04-Mar-20,11251
05-Mar-20,11269
06-Mar-20,10989.45
09-Mar-20,10451.45
11-Mar-20,10458.4
12-Mar-20,9590.15
13-Mar-20,9955.2
16-Mar-20,9197.4
17-Mar-20,8967.05
18-Mar-20,8468.8
19-Mar-20,8263.45
20-Mar-20,8745.45
23-Mar-20,7610.25
24-Mar-20,7801.05
25-Mar-20,8317.85
26-Mar-20,8641.45
27-Mar-20,8660.25
30-Mar-20,8281.1
31-Mar-20,8597.75
01-Apr-20,8253.8
03-Apr-20,8083.8
07-Apr-20,8792.2
08-Apr-20,8748.75
09-Apr-20,9111.9
13-Apr-20,8993.85
15-Apr-20,8925.3
16-Apr-20,8992.8
17-Apr-20,9266.75
20-Apr-20,9261.85
21-Apr-20,8981.45
22-Apr-20,9187.3
23-Apr-20,9313.9
24-Apr-20,9154.4
27-Apr-20,9282.3
28-Apr-20,9380.9
29-Apr-20,9553.35
30-Apr-20,9859.9
04-May-20,9293.5
05-May-20,9205.6
06-May-20,9270.9
07-May-20,9199.05
08-May-20,9251.5
11-May-20,9239.2
12-May-20,9196.55
13-May-20,9383.55
14-May-20,9142.75
15-May-20,9136.85
18-May-20,8823.25
19-May-20,8879.1
20-May-20,9066.55
21-May-20,9106.25
22-May-20,9039.25
26-May-20,9029.05
27-May-20,9314.95
28-May-20,9490.1
29-May-20,9580.3
01-Jun-20,9826.15
02-Jun-20,9979.1
03-Jun-20,10061.55
04-Jun-20,10029.1
05-Jun-20,10142.15
08-Jun-20,10167.45
09-Jun-20,10046.65
10-Jun-20,10116.15
11-Jun-20,9902
12-Jun-20,9972.9
15-Jun-20,9813.7
16-Jun-20,9914
17-Jun-20,9881.15
18-Jun-20,10091.65
19-Jun-20,10244.4
22-Jun-20,10311.2
23-Jun-20,10471
24-Jun-20,10305.3
25-Jun-20,10288.9
26-Jun-20,10383
29-Jun-20,10312.4
30-Jun-20,10302.1
01-Jul-20,10430.05
02-Jul-20,10551.7
03-Jul-20,10607.35
06-Jul-20,10763.65
07-Jul-20,10799.65
08-Jul-20,10705.75
09-Jul-20,10813.45
10-Jul-20,10768.05
13-Jul-20,10802.7
14-Jul-20,10607.35
15-Jul-20,10618.2
16-Jul-20,10739.95
17-Jul-20,10901.7
20-Jul-20,11022.2
21-Jul-20,11162.25
22-Jul-20,11132.6
23-Jul-20,11215.45
24-Jul-20,11194.15
27-Jul-20,11131.8
28-Jul-20,11300.55
29-Jul-20,11202.85
30-Jul-20,11102.15
31-Jul-20,11073.45
03-Aug-20,10891.6
04-Aug-20,11095.25
05-Aug-20,11101.65
06-Aug-20,11200.15
07-Aug-20,11214.05
10-Aug-20,11270.15
11-Aug-20,11322.5
12-Aug-20,11308.4
13-Aug-20,11300.45
14-Aug-20,11178.4
17-Aug-20,11247.1
18-Aug-20,11385.35
19-Aug-20,11408.4
20-Aug-20,11312.2
21-Aug-20,11371.6
24-Aug-20,11466.45
25-Aug-20,11472.25
26-Aug-20,11549.6
27-Aug-20,11559.25
28-Aug-20,11647.6
31-Aug-20,11387.5
01-Sep-20,11470.25
02-Sep-20,11535
03-Sep-20,11527.45
04-Sep-20,11333.85
07-Sep-20,11355.05
08-Sep-20,11317.35
09-Sep-20,11278
10-Sep-20,11449.25
11-Sep-20,11464.45
14-Sep-20,11440.05
15-Sep-20,11521.8
16-Sep-20,11604.55
17-Sep-20,11516.1
18-Sep-20,11504.95
21-Sep-20,11250.55
22-Sep-20,11153.65
23-Sep-20,11131.85
24-Sep-20,10805.55
25-Sep-20,11050.25
28-Sep-20,11227.55
29-Sep-20,11222.4
30-Sep-20,11247.55
01-Oct-20,11416.95
05-Oct-20,11503.35
06-Oct-20,11662.4
07-Oct-20,11738.85
08-Oct-20,11834.6
09-Oct-20,11914.2
12-Oct-20,11930.95
